,Unnamed: 0,SMILES,bace,esol,logD
0,0,COC1=CC(C)=CC=C1CN(CC1=CC=CC=C1F)CC(C)C,3.7348285,-5.9428883,2.3265433
1,1,CCOC1CC(N(C)C2=NN=C(C3=CC=C(C4=CC=C(F)C=C4)S3)N2CC(=O)N(C)C)C1(C)C,4.669635,-4.7206926,-0.004733395
2,2,CC(C(=O)NC1=CC=NC(C(=O)OC(C)(C)C)=C1)C1CCC(=O)N1,3.5399413,-5.216253,-0.75121564
3,3,O=C(NC1=CC(F)=CC=C1OC1=CC=CC=C1)N1CCCCO1,3.5552692,-5.717595,1.0236254
4,4,COC(=O)C1=CC2=CC(NC(=O)CCC3=NN=C[NH]3)=CC=C2S1,4.116351,-5.706593,0.7316554
5,5,O=C(CNC(=O)NC1CCOC2(CCOCC2)C1)NCC(F)F,3.6722648,-4.64162,-0.734341
6,6,O=C1C2=C(N=CN1CC=CC1=CC=C(Br)C=C1)N(C1CC1)N=N2,3.4791033,-4.7307653,1.1974231
7,7,COC(=O)C1=CC2=CC=CC(NC(=O)N3CC(C)OC4(CCOC4C)C3)=C2S1,4.2073445,-4.621469,0.057550702
8,8,CC1=C(C(=O)N2CCC(CN(C)C(=O)C3=NN(C)C(C)=C3Cl)CC2)ON=C1,4.3716063,-4.2918324,1.1528901
9,9,COC1=CC=C(CCC2=NN=C(C(C)(C)NC(=O)OC(C)(C)C)O2)C=C1Cl,4.3394833,-4.9240775,-0.5402908
10,10,CC(C)C[C@@H]1C[C@H]1NS(=O)(=O)CC1(CC#N)CC1,3.480566,-4.2773967,-0.6163609
11,11,CN(C)C1=NC=C(C(=O)N(C)C2=C[NH]N=C2)C=C1Cl,3.6416306,-4.1645904,1.7939874
12,12,O=C(CC1=CSC=C1)NCC1CCN(C2CCCN(C3=CC=CC=C3)C2=O)C1,3.6060991,-5.694808,1.516757
13,13,COC1=CC(Br)=CC(NC(=O)NCC(=O)N2CCNCC2)=C1,3.7152133,-5.621896,1.453186
14,14,CN(C)C1=NC2=CC(NCC3=CC=C4C=CC(F)=C(F)C4=N3)=CC=C2O1,4.023534,-5.123333,1.7698926
15,15,CCC1=C(C)C=C(C(=O)NCC2(O)CN(C(C)C3=CC=C(F)C=C3F)C2)S1,4.3084707,-4.7380037,-0.7661426
16,16,CC(C)(C)OC(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)NCC(O)(C1=CC=CC=C1)C(F)(F)F,3.616068,-4.8498564,-0.37709337
17,17,N#CC(C1=CC=CC(Cl)=C1)N1CCN(CC2=CC=C(Cl)C3=CC=CN=C23)CC1,4.0169196,-5.8885307,1.0219218
18,18,CCSC1=CC=CC(CNC(CC)(CC)CO)=C1,4.0840364,-4.5912757,-0.5341995
19,19,CN1C(COC2=CC=C(Cl)C=C2)=NN=C1SC1CCN(C2=CC(OC(F)(F)F)=CC=C2)C1=O,3.8556318,-5.497361,-0.46197692
20,20,CC1=CC=C(N(C)CC2=CN3C=CC=C(Br)C3=N2)C=C1Cl,3.7235281,-4.9679813,2.0667107
21,21,CC1=C2C=C(C(=O)N3C(C)CNC(C)C3C)[NH]C2=CC=C1F,3.7855527,-4.2450795,0.07656909
22,22,CC1=CC=CC2=NC(CN3C=C(C4(O)CCCCC4)N=N3)=CN12,4.161542,-5.151229,-0.32276654
23,23,CC1=CC=CC(C2=CCN(C(=O)C3=CC(S(=O)(=O)N4CCOCC4)=CN3C)CC2)=C1C,3.9029746,-4.5476675,0.043358658
24,24,CN(C)C(=O)C1=CC=C(NC(=O)C2=CC=NC(C3CC3)=C2)C=N1,3.6815608,-5.771681,1.4337981
25,25,NC1=NC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=NC(NC2=CC=C(F)C=C2)=N1,3.8138657,-6.4780817,1.0330857
26,26,CC(C)(C)OC(=O)N1CCC(CC(=O)N2CCOC3=CC=NC=C32)C2=CC=CC=C21,3.733317,-5.0558157,0.41015744
27,27,CCN(CC1CCN(C(=O)CC2(C)CC2)CC1)C(=O)C1=NSC2=CC=CC=C12,4.325467,-5.085677,-0.7899657
28,28,CCC(OC1=CC=CC=C1C)C(=O)NCC1(NC(=O)C2=CCCC2)CCCC1,4.180451,-5.271779,0.33490315
29,29,COC1=CC=C(C2=N[NH]C=C2C(=O)NC(C)C2CCCNC2)C=C1,3.2157488,-5.233343,0.54868037
30,30,CCS(=O)(=O)C1=CC(Cl)=CC(CNC(=O)C2=CN=CC(OC)=N2)=C1,3.9374692,-5.3282704,-0.13131043
31,31,CC1=CC=CC=C1N(C)C(=O)CC1=CC=CC=C1CO,3.1606898,-5.050475,1.7817607
32,32,CC(C)CC(C)N(C)C(=O)CSC(C)C(=O)OC(C)(C)C,3.087089,-4.503837,0.6606583
33,33,CC(OC(=O)C1=CC=C(OC2=CC=CC(F)=C2C#N)C=C1)C(=O)C1=C[NH]C2=NC=CC=C12,4.0886707,-5.9674377,1.34542
34,34,CC1=CC=C(SC2=NSC(NC(=O)NCC3=CC=NC=C3OCC3CCOC3)=N2)C=C1,3.9019353,-6.5509458,1.3956728
35,35,C1=NC(C2CC2)=CC(NC2=CN(C3CCCC3)N=C2)=N1,3.1411555,-5.3613043,1.492789
36,36,CC1(OCC(=O)N2C3=CC=CC=C3CC3CCCCC32)CCOCC1,3.8619924,-5.0314126,-1.1896627
37,37,COC1=NC(C)=C(Br)C=C1C(=O)NC(C1=CC=C(Cl)C=C1)C1CC1C,3.8009462,-4.842686,0.6611671
38,38,CCCC(O)(CCC)CS(=O)(=O)C1=CC=C(F)C=C1Cl,4.1347075,-4.5102034,-0.5659018
39,39,CSC1=CC=NC(NC2(CNC(=O)CC3=CSC=N3)CCC2)=N1,4.016383,-5.35757,0.4173742
40,40,O=C(COCC1CCCC1)N[C@@H]1CN(C(=O)C2=CC(=O)C3=CC=CC=C3O2)C[C@@H]1O,3.6725025,-5.241172,0.6456201
41,41,O=C(NCCC1=NN=C[NH]1)NC1=NSN=C1,3.2080903,-4.6745653,1.5249219
42,42,CO[C@@H]1CN(CC2=NOC=C2)C[C@H]1NC(=O)CCN1C=CC2=CC=CC=C21,3.6733556,-6.0183034,1.819685
43,43,CC1CCCCC1(CNC(=O)C1=NN(C)N=N1)NC(=O)CCC1=CN=CN=C1,3.9973493,-5.1441813,0.094759025
44,44,CC1CCC2=N[NH]C(C(=O)NCC(C)(C)CN(C)C(=O)[C@@H]3C[C@H]3C3=CC=CO3)=C2C1,3.7916517,-5.096981,-0.5692676
45,45,CC1=NC=CN=C1C(C)NC(=O)NCCC1=CC=CC(Cl)=C1Cl,3.3210118,-5.039648,1.9583287
46,46,CNC1=CC(C)=NC(N2CCC(O)(CC3=CC=CC=C3C)CC2)=N1,4.3324556,-5.5144396,-0.663335
47,47,CC1CCC(O)(C(=O)N[C@@H](C)C(N)=O)CC1,2.966722,-4.0957403,-0.62497085
48,48,CCCN1N=CC=C1NC(=O)CNC(CC1=CC=CC2=CC=CC=C12)C(=O)OCC,3.5445232,-6.064414,2.6042569
49,49,CC1=C(C(=O)NC2CCN(C(=O)C(C(C)C)N3CCCCC3)C2)N=NN1C,3.6406488,-4.3914976,1.0958415
50,50,O=C(NC1=NN(CC2=CC=CN=C2)C=C1)C1=CC2=C(S1)C(Br)=CS2,3.9572544,-5.3664665,1.2373123
51,51,O=C1NCCC1NC1=NC(CCCC2=CC=CC=C2)=CS1,3.591057,-5.0527773,1.6868482
52,52,CC1=NC(C)=C(CCC(=O)NCCS(=O)(=O)NCC2CCCCO2)C(=O)[NH]1,3.1936107,-4.6170673,-0.34308612
53,53,CS(=O)(=O)C1=CC=CN=C1CNC(=O)CCC1=NC(C2=CC=C(Br)C=C2)=NO1,3.7911158,-5.4285927,-0.054562893
54,54,C=CC1=CC=C(CCNC(=O)NCC2=CC=C3OC=CC3=C2)C=C1,3.5139685,-5.528476,2.2886693
55,55,CC1CCC(C(=O)CCC(=O)NC2CCCC(C(C)C)C2)CC1,2.8920689,-4.8551183,2.0517883
56,56,CC(C)[C@@H]1CCO[C@@H]1C(=O)NC1(C)CCOC1C1CC1,3.4815865,-3.8753297,-0.95124006
57,57,COCCC(NC(=O)NC1CCN(C(=O)C2=CC(Cl)=C[NH]2)CC1)C1=CC=CO1,3.5400167,-5.6655836,0.6934926
58,58,COC1=CC=CC=C1COC1CCN(C(=O)C2C(C)CC(C)CN2C(=O)OC(C)(C)C)CC1,3.614151,-5.005951,0.060594443
59,59,CC1=CN=CC(CNC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)=C1,3.92066,-5.1304336,2.1822455
60,60,CCCCC(=O)COC(=O)CC(C)SC,3.0478172,-4.3796954,0.6508247
61,61,CCC(CC)CN(CC)C(=O)C1(O)CCCC1,3.7241557,-3.6875284,-1.279547
62,62,O=C(NC1=CSC(C2=CC=C(Br)C=C2)=N1)C1=N[NH]C2=CC=CC=C2C1=O,3.6066964,-5.2660346,1.1102777
63,63,CC(C)N(CC1CCC1)CC12CCC(CC1)C2,2.8389523,-4.0119195,-0.8195174
64,64,O=C(CCN1C=CN=N1)N1CCC2(CC1)CN(C1CCCC3=CC=C(F)C=C31)C2,4.3935413,-5.2143073,-1.1133633
65,65,CC1=C(C(=O)NS(=O)(=O)C2=CN=CC(Cl)=C2)N=NN1C,3.9883716,-4.4459567,-0.17852713
66,66,COC1=CC(C)=CN=C1C(=O)N1[C@H](C)CCC[C@@H]1C(=O)OC(C)(C)C,3.6681483,-4.7549725,-0.49437478
67,67,CCCS(=O)(=O)CC(=O)N1CCCN(CC2=CC=C(OC)N=N2)CC1,4.3195796,-5.632818,-1.0536914
68,68,CCCC1=NC(C(=O)NC[C@@H]2C[C@H](C)CCN2C(=O)CC(C)(C)COC)=CO1,4.2604094,-5.540143,-0.45781258
69,69,C=CC1=CC=C(C(=O)NC(CNC(=O)CC2COC(=O)C2)C(C)(C)C)C=C1,4.268125,-4.7658887,-0.64594275
70,70,COC1=CC=CC(OC2=CC=C(C(=O)OC3CNC(=O)C(F)(F)C3)N=C2)=C1,3.7833185,-5.011463,-0.5050404
