,SMILES,bace,esol,logD
58,COC1=CC=CC=C1COC1CCN(C(=O)C2C(C)CC(C)CN2C(=O)OC(C)(C)C)CC1,,,
59,CC1=CN=CC(CNC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)=C1,,,
60,CCCCC(=O)COC(=O)CC(C)SC,,,
61,CCC(CC)CN(CC)C(=O)C1(O)CCCC1,,,
62,O=C(NC1=CSC(C2=CC=C(Br)C=C2)=N1)C1=N[NH]C2=CC=CC=C2C1=O,,,
63,CC(C)N(CC1CCC1)CC12CCC(CC1)C2,,,
64,O=C(CCN1C=CN=N1)N1CCC2(CC1)CN(C1CCCC3=CC=C(F)C=C31)C2,,,
65,CC1=C(C(=O)NS(=O)(=O)C2=CN=CC(Cl)=C2)N=NN1C,,,
66,COC1=CC(C)=CN=C1C(=O)N1[C@H](C)CCC[C@@H]1C(=O)OC(C)(C)C,,,
67,CCCS(=O)(=O)CC(=O)N1CCCN(CC2=CC=C(OC)N=N2)CC1,,,
68,CCCC1=NC(C(=O)NC[C@@H]2C[C@H](C)CCN2C(=O)CC(C)(C)COC)=CO1,,,
69,C=CC1=CC=C(C(=O)NC(CNC(=O)CC2COC(=O)C2)C(C)(C)C)C=C1,,,
70,COC1=CC=CC(OC2=CC=C(C(=O)OC3CNC(=O)C(F)(F)C3)N=C2)=C1,,,
71,CC1=CN(C(C)(C)C(=O)N2C[C@H]3[C@H]4CC[C@H](C4)[C@@]3(C)C2)N=C1C(F)(F)F,,,
72,COC(=O)C1=C(C)OC(C)=C1S(=O)(=O)N1CCN(CCC(=O)N2CCOC3=CC=CC=C32)CC1,,,
73,COC1=CC=CC2=C1OC(C(C)NC1(C3=CC=C4OCOC4=C3)CC1)=C2,,,
74,CC1=CC=C(N2C=NN=C2SCC(=O)NC2C3=CC=CC=C3CC23CCOCC3)C=C1C,,,
75,CC(=O)N[C@@H](CC(=O)NC(CC(=O)OC(C)C)C(C)C)C(N)=O,,,
76,CC(C)N1C=NN=C1SCC(=O)N1CCC(OCC2=CC=C(Br)C=C2)CC1,,,
77,CSC1=NC(N2CCC(C3=NN=CN3C(C)C)CC2)=NS1,,,
78,CC(=O)N(C1=CC=C(NC(=O)C(C)N2C=NC3=C(N)N=CN=C32)C=C1)C1CC1C,,,
79,CCOC(=O)C1=CN=C2C(F)=CC=C(F)C2=C1NC1CCC(O)(C2=CC=CN=C2)CC1,,,
80,CC(C1=NC=C(C2=CC=CC=C2)O1)N1CCC(CNC(=O)C2=CN=CC(F)=C2)C1,,,
81,CC1=NC(Br)=C(CN(C)CC2=CN=C3C=CC(Cl)=CN23)[NH]1,,,
82,COC1=CC=NC(N(C)C2CC(NC(=O)C3=CC=NC=C3Cl)C2)=N1,,,
83,CC(=CC1=CC=CC=C1)CNC1=CC(C)=CC(C)=N1,,,
84,CCC1=NN(C)C=C1C(=O)OCC1=CC=C(S(=O)(=O)C2=CC=C(C)C=C2)C=C1,,,
85,COC(=O)C1=C(NC(=O)C2=NN(C3=CC=CC=C3F)C(C)=C2)C=C(C(C)(C)C)S1,,,
86,CSC1=NC=C(C(=O)NCCC2=N[NH]C(C)=N2)C(O)=N1,,,
87,CC(C)CC1=CC=C(C(C)C(=O)NCC(=O)C2=CC(F)=CC=C2)C=C1,,,
88,CC(=O)N1CCN(C2CN(C(=O)NCC3=CC(S(=O)(=O)N(C)C)=CC=C3)CC2C)CC1,,,
89,CC1=CC=CC(S(=O)(=O)NC(=O)C2=CC=NN2CCC(F)(F)F)=C1F,,,
90,ClC1=CC(CN2CCCSCC2)=C(Cl)S1,,,
91,CC1=NOC(C2CN(C(=O)C3NC(=O)OC3C)C2)=N1,,,
92,CS(=O)(=O)CC1CCC(NS(=O)(=O)C2=COC=C2)CC1,,,
93,CC(C)OC1=CC=C(Cl)C(C(=O)N(C)CC2=CC=CC(NS(=O)(=O)C3=CC=CC=C3)=C2)=N1,,,
94,CC(C(=O)NC1=CC=C2NC(=O)N(C)CC2=C1)C1=CC=CC=C1C(F)(F)F,,,
95,COCC(=O)N1CCC(O)(CNC(=O)C(F)C(F)(F)F)CC1,,,
96,CC1=NC(C2=CC=C(CNC(=O)C3=NC=CN4C(Br)=CN=C34)C=C2)=NO1,,,
97,COCC(NC(=O)C1CC(C(C)(C)C)=NO1)C(=O)N1CCOCC1,,,
98,C[C@H]1COC(C)(C)CN1C1=NC(Cl)=NC2=CC=CC=C12,,,
99,CC1CCC2=C(F)C=CC=C2C1NC(=O)CSCC1CCCCO1,,,
100,CC1=NN=C(C(C)N(C)CCN(C)C(=O)C(C)(C)CC2=CC=CC=C2)S1,,,
101,COCC(NC(C)C1=C(C)N(C(C)C)N=C1)C1=CC=C(F)C(F)=C1,,,
102,CSC1=CC=C(NC(=O)NC2(C3=CC=C(Cl)C(Cl)=C3)CC2)N=C1,,,
103,CN(CC1=NC2=CC=CC=C2S1)C1=NC(=O)[NH]C(Cl)=C1,,,
104,FC(F)CN1C=C(C=C(Cl)C2=NC3=CC=C(Br)C=C3O2)C=N1,,,
105,COC1=CC(C)=CC=C1C(=O)N1CCN(C(=O)C2=N[NH]C3=C2CCCC3)CC1,,,
106,O=C(NC1=CC=CC=C1C(O)C(F)(F)F)C1=N[NH]C=N1,,,
107,CCC(C)(C)C1CCC2(CC1)CC2C(=O)NC1=CC=C(S(=O)(=O)CCO)C=C1C,,,
108,CC(C)(C)C1=CSC(C2CCN(CC3=NC4=CC=CN=C4S3)CC2)=N1,,,
109,CCC1=NC(C(C)C)=CC=C1C(=O)NC1=NC=CC(C2=CN(C)N=C2)=N1,,,
110,CC(NCCC1=NN(C(C)(C)C)N=N1)C1=CC=C(OCC2=CC=CN=C2)C=C1,,,
111,CC1=CC(F)=C(Br)C=C1C(=O)N1CCC=C(Cl)C1,,,
112,CC1CCCN1C(=O)C1=CC=C(C2=NOC(C3=CC(N(C)C)=C4C=CC=CC4=N3)=N2)C=C1,,,
113,CS(=O)(=O)N1CCC[C@@H]1CNC(C1=CC=C2C=CC=CC2=C1)C(F)(F)F,,,
114,COCC(C)(C)C(=O)N1CCC(C(C)NC(=O)C2=CC(F)=CC=C2Cl)C1,,,
115,CCC1=NC(C)=C(CN2C(C3=CC=C4OCCOC4=C3)=NN=C2N(C)CC(C)C#N)O1,,,
116,CCCC1CNCCN1C(=O)NCCN1C=CN=C1,,,
117,CC(C)N(CC1=CC=CC(F)=C1)C1=NN=C(CC2=CC=NC=C2)N1CC1CCS(=O)(=O)C1,,,
