Index,SMILES,bace,esol,logD
16,CC(C)(C)OC(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)NCC(O)(C1=CC=CC=C1)C(F)(F)F,4.179527,-5.375409,0.5007853
17,N#CC(C1=CC=CC(Cl)=C1)N1CCN(CC2=CC=C(Cl)C3=CC=CN=C23)CC1,4.0346723,-5.290605,0.22126389
18,CCSC1=CC=CC(CNC(CC)(CC)CO)=C1,3.465032,-4.430669,1.0245405
19,CN1C(COC2=CC=C(Cl)C=C2)=NN=C1SC1CCN(C2=CC(OC(F)(F)F)=CC=C2)C1=O,4.120233,-5.2772975,1.326038
20,CC1=CC=C(N(C)CC2=CN3C=CC=C(Br)C3=N2)C=C1Cl,4.028657,-3.794021,0.18478176
21,CC1=C2C=C(C(=O)N3C(C)CNC(C)C3C)[NH]C2=CC=C1F,4.0503263,-3.7759366,0.76331097
22,CC1=CC=CC2=NC(CN3C=C(C4(O)CCCCC4)N=N3)=CN12,4.0365405,-4.815468,0.94387144
23,CC1=CC=CC(C2=CCN(C(=O)C3=CC(S(=O)(=O)N4CCOCC4)=CN3C)CC2)=C1C,4.1697426,-5.2355785,0.881194
24,CN(C)C(=O)C1=CC=C(NC(=O)C2=CC=NC(C3CC3)=C2)C=N1,4.4290133,-4.346708,-0.08937859
25,NC1=NC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=NC(NC2=CC=C(F)C=C2)=N1,4.170643,-5.3201237,0.6780303
26,CC(C)(C)OC(=O)N1CCC(CC(=O)N2CCOC3=CC=NC=C32)C2=CC=CC=C21,4.3706536,-4.9969354,-0.10320445
27,CCN(CC1CCN(C(=O)CC2(C)CC2)CC1)C(=O)C1=NSC2=CC=CC=C12,3.7888522,-4.3743486,0.5481009
28,CCC(OC1=CC=CC=C1C)C(=O)NCC1(NC(=O)C2=CCCC2)CCCC1,4.25767,-5.033513,1.3748802
29,COC1=CC=C(C2=N[NH]C=C2C(=O)NC(C)C2CCCNC2)C=C1,4.3167124,-4.5979395,0.57837623
30,CCS(=O)(=O)C1=CC(Cl)=CC(CNC(=O)C2=CN=CC(OC)=N2)=C1,3.6486197,-4.6608715,0.075628184
31,CC1=CC=CC=C1N(C)C(=O)CC1=CC=CC=C1CO,4.3433423,-4.2626,0.86645675
32,CC(C)CC(C)N(C)C(=O)CSC(C)C(=O)OC(C)(C)C,4.292242,-4.8324013,0.2632806
33,CC(OC(=O)C1=CC=C(OC2=CC=CC(F)=C2C#N)C=C1)C(=O)C1=C[NH]C2=NC=CC=C12,4.2170506,-4.836054,0.73363465
34,CC1=CC=C(SC2=NSC(NC(=O)NCC3=CC=NC=C3OCC3CCOC3)=N2)C=C1,4.1860447,-4.8064537,0.4428514
35,C1=NC(C2CC2)=CC(NC2=CN(C3CCCC3)N=C2)=N1,4.350771,-4.0131826,-0.042803045
36,CC1(OCC(=O)N2C3=CC=CC=C3CC3CCCCC32)CCOCC1,4.0772142,-4.679956,0.5745543
37,COC1=NC(C)=C(Br)C=C1C(=O)NC(C1=CC=C(Cl)C=C1)C1CC1C,3.8521771,-3.9614508,0.16066623
38,CCCC(O)(CCC)CS(=O)(=O)C1=CC=C(F)C=C1Cl,3.812875,-4.308916,0.19303635
39,CSC1=CC=NC(NC2(CNC(=O)CC3=CSC=N3)CCC2)=N1,3.7757664,-4.449444,1.0755265
40,O=C(COCC1CCCC1)N[C@@H]1CN(C(=O)C2=CC(=O)C3=CC=CC=C3O2)C[C@@H]1O,4.7782016,-4.4420815,0.53230274
41,O=C(NCCC1=NN=C[NH]1)NC1=NSN=C1,3.5289237,-3.491641,0.17964697
42,CO[C@@H]1CN(CC2=NOC=C2)C[C@H]1NC(=O)CCN1C=CC2=CC=CC=C21,3.8557904,-4.8349323,1.1025935
43,CC1CCCCC1(CNC(=O)C1=NN(C)N=N1)NC(=O)CCC1=CN=CN=C1,4.3054543,-4.7691364,1.1533682
44,CC1CCC2=N[NH]C(C(=O)NCC(C)(C)CN(C)C(=O)[C@@H]3C[C@H]3C3=CC=CO3)=C2C1,4.7559814,-4.9504204,0.2513687
45,CC1=NC=CN=C1C(C)NC(=O)NCCC1=CC=CC(Cl)=C1Cl,4.6576986,-4.2696056,0.6552646
46,CNC1=CC(C)=NC(N2CCC(O)(CC3=CC=CC=C3C)CC2)=N1,4.2646227,-4.737566,1.011653
47,CC1CCC(O)(C(=O)N[C@@H](C)C(N)=O)CC1,4.0169144,-3.881354,-0.027106252
48,CCCN1N=CC=C1NC(=O)CNC(CC1=CC=CC2=CC=CC=C12)C(=O)OCC,4.320863,-4.9732866,1.1484226
49,CC1=C(C(=O)NC2CCN(C(=O)C(C(C)C)N3CCCCC3)C2)N=NN1C,4.836464,-4.4887714,0.13461497
50,O=C(NC1=NN(CC2=CC=CN=C2)C=C1)C1=CC2=C(S1)C(Br)=CS2,4.1089897,-4.005739,0.1364663
51,O=C1NCCC1NC1=NC(CCCC2=CC=CC=C2)=CS1,4.235267,-4.434905,0.7420395
52,CC1=NC(C)=C(CCC(=O)NCCS(=O)(=O)NCC2CCCCO2)C(=O)[NH]1,4.1067677,-4.307053,1.4347756
53,CS(=O)(=O)C1=CC=CN=C1CNC(=O)CCC1=NC(C2=CC=C(Br)C=C2)=NO1,3.880533,-4.7891126,-0.02962285
54,C=CC1=CC=C(CCNC(=O)NCC2=CC=C3OC=CC3=C2)C=C1,3.7233903,-4.42686,0.8218273
55,CC1CCC(C(=O)CCC(=O)NC2CCCC(C(C)C)C2)CC1,4.0833263,-5.0371904,0.054990027
56,CC(C)[C@@H]1CCO[C@@H]1C(=O)NC1(C)CCOC1C1CC1,4.1959143,-5.1819353,0.569334
57,COCCC(NC(=O)NC1CCN(C(=O)C2=CC(Cl)=C[NH]2)CC1)C1=CC=CO1,4.133624,-4.94205,0.37121975
58,COC1=CC=CC=C1COC1CCN(C(=O)C2C(C)CC(C)CN2C(=O)OC(C)(C)C)CC1,4.231547,-5.2746987,0.09918211
59,CC1=CN=CC(CNC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)=C1,4.504955,-4.6541643,-0.1487353
60,CCCCC(=O)COC(=O)CC(C)SC,3.14153,-4.2185783,0.4779739
61,CCC(CC)CN(CC)C(=O)C1(O)CCCC1,3.665161,-4.400947,0.30601522
62,O=C(NC1=CSC(C2=CC=C(Br)C=C2)=N1)C1=N[NH]C2=CC=CC=C2C1=O,4.561153,-4.1608653,-0.008401629
63,CC(C)N(CC1CCC1)CC12CCC(CC1)C2,4.0319552,-4.5095057,0.9360147
64,O=C(CCN1C=CN=N1)N1CCC2(CC1)CN(C1CCCC3=CC=C(F)C=C31)C2,3.9736524,-5.7936287,1.2821494
65,CC1=C(C(=O)NS(=O)(=O)C2=CN=CC(Cl)=C2)N=NN1C,3.8378422,-3.875542,0.14567626
66,COC1=CC(C)=CN=C1C(=O)N1[C@H](C)CCC[C@@H]1C(=O)OC(C)(C)C,4.5165286,-4.5173264,0.42645434
67,CCCS(=O)(=O)CC(=O)N1CCCN(CC2=CC=C(OC)N=N2)CC1,3.7403612,-4.8580656,0.69787234
68,CCCC1=NC(C(=O)NC[C@@H]2C[C@H](C)CCN2C(=O)CC(C)(C)COC)=CO1,3.7845726,-4.9796653,-0.1054832
69,C=CC1=CC=C(C(=O)NC(CNC(=O)CC2COC(=O)C2)C(C)(C)C)C=C1,3.8769734,-4.7005405,-0.052712943
70,COC1=CC=CC(OC2=CC=C(C(=O)OC3CNC(=O)C(F)(F)C3)N=C2)=C1,3.866034,-5.052747,0.824669
71,CC1=CN(C(C)(C)C(=O)N2C[C@H]3[C@H]4CC[C@H](C4)[C@@]3(C)C2)N=C1C(F)(F)F,4.238909,-4.5333195,0.025047634
72,COC(=O)C1=C(C)OC(C)=C1S(=O)(=O)N1CCN(CCC(=O)N2CCOC3=CC=CC=C32)CC1,4.5280943,-4.5938945,0.38532308
73,COC1=CC=CC2=C1OC(C(C)NC1(C3=CC=C4OCOC4=C3)CC1)=C2,4.263296,-4.7750607,1.9646478
74,CC1=CC=C(N2C=NN=C2SCC(=O)NC2C3=CC=CC=C3CC23CCOCC3)C=C1C,4.3570795,-5.3451443,1.1732131
75,CC(=O)N[C@@H](CC(=O)NC(CC(=O)OC(C)C)C(C)C)C(N)=O,4.066379,-4.8786507,0.075118996
76,CC(C)N1C=NN=C1SCC(=O)N1CCC(OCC2=CC=C(Br)C=C2)CC1,4.579057,-4.809905,0.7420384
77,CSC1=NC(N2CCC(C3=NN=CN3C(C)C)CC2)=NS1,3.9530158,-4.2741194,0.52185446
78,CC(=O)N(C1=CC=C(NC(=O)C(C)N2C=NC3=C(N)N=CN=C32)C=C1)C1CC1C,4.42253,-4.271489,0.22046383
79,CCOC(=O)C1=CN=C2C(F)=CC=C(F)C2=C1NC1CCC(O)(C2=CC=CN=C2)CC1,4.250404,-5.0962524,1.1788123
80,CC(C1=NC=C(C2=CC=CC=C2)O1)N1CCC(CNC(=O)C2=CN=CC(F)=C2)C1,4.316258,-4.99759,0.34683287
81,CC1=NC(Br)=C(CN(C)CC2=CN=C3C=CC(Cl)=CN23)[NH]1,4.2760105,-3.5056868,-0.23975296
82,COC1=CC=NC(N(C)C2CC(NC(=O)C3=CC=NC=C3Cl)C2)=N1,3.8656058,-4.4986515,0.5327508
83,CC(=CC1=CC=CC=C1)CNC1=CC(C)=CC(C)=N1,3.8943214,-4.128315,0.14015195
84,CCC1=NN(C)C=C1C(=O)OCC1=CC=C(S(=O)(=O)C2=CC=C(C)C=C2)C=C1,3.841737,-4.5346637,-0.13859901
85,COC(=O)C1=C(NC(=O)C2=NN(C3=CC=CC=C3F)C(C)=C2)C=C(C(C)(C)C)S1,4.4570336,-4.757081,0.746826
86,CSC1=NC=C(C(=O)NCCC2=N[NH]C(C)=N2)C(O)=N1,3.9331923,-3.4113264,0.35939336
87,CC(C)CC1=CC=C(C(C)C(=O)NCC(=O)C2=CC(F)=CC=C2)C=C1,4.5823746,-5.2236,0.43755895
88,CC(=O)N1CCN(C2CN(C(=O)NCC3=CC(S(=O)(=O)N(C)C)=CC=C3)CC2C)CC1,4.0733805,-5.754613,0.37121382
89,CC1=CC=CC(S(=O)(=O)NC(=O)C2=CC=NN2CCC(F)(F)F)=C1F,3.4113955,-4.343042,0.60789245
90,ClC1=CC(CN2CCCSCC2)=C(Cl)S1,4.111987,-3.859833,-0.06251701
91,CC1=NOC(C2CN(C(=O)C3NC(=O)OC3C)C2)=N1,3.938827,-3.3326337,-0.30774745
92,CS(=O)(=O)CC1CCC(NS(=O)(=O)C2=COC=C2)CC1,3.5678859,-4.534391,-0.3726175
93,CC(C)OC1=CC=C(Cl)C(C(=O)N(C)CC2=CC=CC(NS(=O)(=O)C3=CC=CC=C3)=C2)=N1,4.184571,-5.5091734,0.6161142
