,SMILES,esol,logD,bace
45,CC1=NC=CN=C1C(C)NC(=O)NCCC1=CC=CC(Cl)=C1Cl,-4.365884,-0.108644865,4.3197436
46,CNC1=CC(C)=NC(N2CCC(O)(CC3=CC=CC=C3C)CC2)=N1,-4.4286404,0.3047391,4.185478
47,CC1CCC(O)(C(=O)N[C@@H](C)C(N)=O)CC1,-3.6769946,0.45318216,3.3353329
48,CCCN1N=CC=C1NC(=O)CNC(CC1=CC=CC2=CC=CC=C12)C(=O)OCC,-5.0681143,0.48358086,4.640427
49,CC1=C(C(=O)NC2CCN(C(=O)C(C(C)C)N3CCCCC3)C2)N=NN1C,-4.3813295,-0.06878104,3.8134685
50,O=C(NC1=NN(CC2=CC=CN=C2)C=C1)C1=CC2=C(S1)C(Br)=CS2,-4.5604954,-0.25961864,4.349736
51,O=C1NCCC1NC1=NC(CCCC2=CC=CC=C2)=CS1,-4.237641,-0.69024855,4.43264
52,CC1=NC(C)=C(CCC(=O)NCCS(=O)(=O)NCC2CCCCO2)C(=O)[NH]1,-4.2688403,1.0411929,4.2846804
53,CS(=O)(=O)C1=CC=CN=C1CNC(=O)CCC1=NC(C2=CC=C(Br)C=C2)=NO1,-4.3944964,1.2092474,4.336214
54,C=CC1=CC=C(CCNC(=O)NCC2=CC=C3OC=CC3=C2)C=C1,-4.576685,0.11557401,4.6929197
55,CC1CCC(C(=O)CCC(=O)NC2CCCC(C(C)C)C2)CC1,-4.4415445,0.045156334,3.9247255
56,CC(C)[C@@H]1CCO[C@@H]1C(=O)NC1(C)CCOC1C1CC1,-3.240586,-0.472943,4.0060534
57,COCCC(NC(=O)NC1CCN(C(=O)C2=CC(Cl)=C[NH]2)CC1)C1=CC=CO1,-4.695671,-0.513749,4.611398
58,COC1=CC=CC=C1COC1CCN(C(=O)C2C(C)CC(C)CN2C(=O)OC(C)(C)C)CC1,-4.9706426,1.2546551,4.86998
